ds,y
2017-03-09,3.86242
2017-03-10,3.84792
2017-03-13,3.85732
2017-03-14,3.8455
2017-03-15,3.86184
2017-03-16,3.8427
2017-03-17,3.8434800000000005
2017-03-20,3.8247
2017-03-21,3.836
2017-03-22,3.8550600000000004
2017-03-23,3.91198
2017-03-24,3.9050399999999996
2017-03-27,3.9339199999999996
2017-03-28,3.9230600000000004
2017-03-29,3.87784
2017-03-30,3.90196
2017-03-31,3.9621000000000004
2017-04-03,3.89214
2017-04-04,3.8854599999999997
2017-04-05,3.8600000000000003
2017-04-06,3.8894599999999997
2017-04-07,3.88082
2017-04-10,3.90046
2017-04-11,3.91732
2017-04-12,3.9333
2017-04-13,3.91556
2017-04-17,3.90418
2017-04-18,3.9480199999999996
2017-04-19,4.0085
2017-04-20,4.033939999999999
2017-04-24,3.99472
2017-04-25,4.0510600000000005
2017-04-26,4.0883400000000005
2017-04-27,4.09486
2017-04-28,4.13574
2017-05-02,4.0989
2017-05-03,4.0666400000000005
2017-05-04,4.10248
2017-05-05,4.1145
2017-05-08,4.13504
2017-05-09,4.12098
2017-05-10,4.09086
2017-05-11,4.0637799999999995
2017-05-12,4.03172
2017-05-15,4.00576
2017-05-16,3.99162
2017-05-17,4.026940000000001
2017-05-18,4.39908
2017-05-19,4.2818
2017-05-22,4.27588
2017-05-23,4.2401
2017-05-24,4.22556
2017-05-25,4.25164
2017-05-26,4.17442
2017-05-29,4.20078
2017-05-30,4.20094
2017-05-31,4.1806
2017-06-01,4.16442
2017-06-02,4.17384
2017-06-05,4.24058
2017-06-06,4.23242
2017-06-07,4.23958
2017-06-08,4.24748
2017-06-09,4.16952
2017-06-12,4.17818
2017-06-13,4.22822
2017-06-14,4.20148
2017-06-16,4.20432
2017-06-19,4.2060200000000005
2017-06-20,4.1856
2017-06-21,4.21448
2017-06-22,4.22378
2017-06-23,4.24486
2017-06-26,4.21914
2017-06-27,4.2391
2017-06-28,4.2669
2017-06-29,4.27862
2017-06-30,4.29602
2017-07-03,4.27642
2017-07-04,4.27232
2017-07-05,4.29014
2017-07-06,4.28366
2017-07-07,4.2369
2017-07-10,4.20404
2017-07-11,4.1814800000000005
2017-07-12,4.15776
2017-07-13,4.15166
2017-07-14,4.16704
2017-07-17,4.157719999999999
2017-07-18,4.12496
2017-07-19,4.10976
2017-07-20,4.075480000000001
2017-07-21,4.05754
2017-07-24,4.1003799999999995
2017-07-25,4.12064
2017-07-26,4.13056
2017-07-27,4.128159999999999
2017-07-28,4.12348
2017-07-31,4.12108
2017-08-01,4.11954
2017-08-02,4.13658
2017-08-03,4.09736
2017-08-04,4.075100000000001
2017-08-07,4.07238
2017-08-08,4.06642
2017-08-09,4.08864
2017-08-10,4.09776
2017-08-11,4.1140799999999995
2017-08-14,4.13872
2017-08-15,4.11218
2017-08-16,4.07406
2017-08-17,4.07284
2017-08-18,4.07258
2017-08-21,4.05606
2017-08-22,4.04662
2017-08-23,4.03876
2017-08-24,4.02288
2017-08-25,4.04452
2017-08-28,4.07962
2017-08-29,4.10324
2017-08-30,4.08802
2017-08-31,4.05404
2017-09-01,4.0636600000000005
2017-09-04,4.06544
2017-09-05,4.05806
2017-09-06,4.06792
2017-09-08,4.0799199999999995
2017-09-11,4.06818
2017-09-12,4.13224
2017-09-13,4.14886
2017-09-14,4.1935
2017-09-15,4.2462800000000005
2017-09-18,4.22642
2017-09-19,4.23498
2017-09-20,4.24128
2017-09-21,4.24526
2017-09-22,4.2347
2017-09-25,4.23728
2017-09-26,4.25304
2017-09-27,4.2766
2017-09-28,4.281499999999999
2017-09-29,4.24478
2017-10-02,4.2001800000000005
2017-10-03,4.1733400000000005
2017-10-04,4.15566
2017-10-05,4.11768
2017-10-06,4.13142
2017-10-09,4.1750799999999995
2017-10-10,4.18438
2017-10-11,4.17814
2017-10-13,4.201639999999999
2017-10-16,4.1981
2017-10-17,4.18652
2017-10-18,4.170579999999999
2017-10-19,4.1854
2017-10-20,4.19644
2017-10-23,4.21792
2017-10-24,4.2677
2017-10-25,4.29224
2017-10-26,4.2805599999999995
2017-10-27,4.29634
2017-10-30,4.2923
2017-10-31,4.33836
2017-11-01,4.34986
2017-11-03,4.30724
2017-11-06,4.3059400000000005
2017-11-07,4.2982
2017-11-08,4.25952
2017-11-09,4.26356
2017-11-10,4.3091
2017-11-13,4.30372
2017-11-14,4.30388
2017-11-16,4.329739999999999
2017-11-17,4.32554
2017-11-20,4.3212
2017-11-21,4.3176000000000005
2017-11-22,4.31752
2017-11-23,4.3086
2017-11-24,4.30798
2017-11-27,4.30578
2017-11-28,4.27992
2017-11-29,4.305960000000001
2017-11-30,4.39416
2017-12-01,4.400740000000001
2017-12-04,4.39266
2017-12-05,4.33992
2017-12-06,4.32652
2017-12-07,4.40292
2017-12-08,4.4067
2017-12-11,4.38958
2017-12-12,4.42462
2017-12-13,4.413880000000001
2017-12-14,4.4739
2017-12-15,4.43014
2017-12-18,4.40396
2017-12-19,4.3943200000000004
2017-12-20,4.41164
2017-12-21,4.4135599999999995
2017-12-22,4.44362
2017-12-26,4.43488
2017-12-27,4.43202
2017-12-28,4.4470600000000005
2017-12-29,4.47174
2018-01-02,4.43234
2018-01-03,4.40858
2018-01-04,4.378539999999999
2018-01-05,4.39298
2018-01-08,4.3843000000000005
2018-01-09,4.380280000000001
2018-01-10,4.39206
2018-01-11,4.36466
2018-01-12,4.39654
2018-01-15,4.40882
2018-01-16,4.43262
2018-01-17,4.4584600000000005
2018-01-18,4.458620000000001
2018-01-19,4.4524
2018-01-22,4.44356
2018-01-23,4.50438
2018-01-24,4.534000000000001
2018-01-25,4.48456
2018-01-26,4.4760599999999995
2018-01-29,4.45602
2018-01-30,4.473999999999999
2018-01-31,4.48228
2018-02-01,4.511
2018-02-02,4.5450800000000005
2018-02-05,4.53728
2018-02-06,4.5282800000000005
2018-02-07,4.5182
2018-02-08,4.5762599999999996
2018-02-09,4.53768
2018-02-14,4.544933333333334
2018-02-15,4.53372
2018-02-16,4.54754
2018-02-19,4.52466
2018-02-20,4.548640000000001
2018-02-21,4.54196
2018-02-22,4.5398
2018-02-23,4.5319
